fold,experiment_name,best_threshold,test_best_auroc,test_best_auprc,test_best_f1,test_best_balanced_acc,test_best_loss,test_05_auroc,test_05_auprc,test_05_f1,test_05_balanced_acc,test_05_loss
fold_0,local_pair_resnet18_weighted_ce_fold_0,0.06999999999999999,0.5582369013179043,0.08333258763677429,0.13793103448275862,0.5515589842494375,0.7858221907761376,0.5582369013179043,0.08333258763677429,0.04054054054054055,0.5097999035679845,0.7858221907761376
fold_1,local_pair_resnet18_weighted_ce_fold_1,0.19,0.7150774416866241,0.10670654678672323,0.10212765957446808,0.5292673868846682,0.8148317358155146,0.7150774416866241,0.10670654678672323,0.034482758620689655,0.5054968599574344,0.8148317358155146
fold_2,local_pair_resnet18_weighted_ce_fold_2,0.9500000000000001,0.6106626553643419,0.17227761138202274,0.11610486891385767,0.5495643056091584,1.0946975118615432,0.6106626553643419,0.17227761138202274,0.10119595216191352,0.5467487991667402,1.0946975118615432
fold_3,local_pair_resnet18_weighted_ce_fold_3,0.46,0.5574753381770926,0.06248372029471083,0.02531645569620253,0.5048812461093163,0.9892162338098137,0.5574753381770926,0.06248372029471083,0.025974025974025972,0.5055310186889135,0.9892162338098137
fold_4,local_pair_resnet18_weighted_ce_fold_4,0.23,0.6529850437431199,0.13853212761992162,0.18502202643171803,0.5663782186576615,0.8695126431983906,0.6529850437431199,0.13853212761992162,0.18367346938775508,0.559506369031361,0.8695126431983906
