fold,experiment_name,best_threshold,test_best_auroc,test_best_auprc,test_best_f1,test_best_balanced_acc,test_best_loss,test_05_auroc,test_05_auprc,test_05_f1,test_05_balanced_acc,test_05_loss
fold_0,baseline_pair_resnet18_chrid_weighted_ce_fold_0,0.2,0.5606256027000964,0.08271025028968115,0.1377049180327869,0.5569873031179685,0.8868354459708307,0.5606256027000964,0.08271025028968115,0.14634146341463414,0.5477700096432015,0.8868354459708307
fold_1,baseline_pair_resnet18_chrid_weighted_ce_fold_1,0.28,0.5734541420470506,0.11515014732603496,0.14054054054054055,0.5413026296368597,1.1915469457740386,0.5734541420470506,0.11515014732603496,0.11976047904191617,0.5329930628627475,1.1915469457740386
fold_2,baseline_pair_resnet18_chrid_weighted_ce_fold_2,0.03,0.5542851031577382,0.1692503072748036,0.171875,0.5816973481695721,1.2079743410427464,0.5542851031577382,0.1692503072748036,0.18497109826589597,0.5538619634611898,1.2079743410427464
fold_3,baseline_pair_resnet18_chrid_weighted_ce_fold_3,0.08,0.5156365726541166,0.06064677703357836,0.07407407407407408,0.5166862052826965,1.4164562030669068,0.5156365726541166,0.06064677703357836,0.025806451612903226,0.5053685755440142,1.4164562030669068
fold_4,baseline_pair_resnet18_chrid_weighted_ce_fold_4,0.9400000000000001,0.3716116670391246,0.04322093537392144,0.06862745098039215,0.516938560987924,1.2387837168934581,0.3716116670391246,0.04322093537392144,0.09289617486338797,0.5314685604085451,1.2387837168934581
