threshold_family,quantile,mean_std_k,threshold,f1,precision_abnormal,recall_abnormal,balanced_acc,tn,fp,fn,tp
mean_std,,2.5,0.27054303895474446,0.0,0.0,0.0,0.5,2221,0,104,0
mean_std,,3.0,0.2948114299163195,0.0,0.0,0.0,0.5,2221,0,104,0
quantile,0.99,,0.25278883874416364,0.0,0.0,0.0,0.4945970283656011,2197,24,104,0
mean_std,,2.0,0.24627464799316942,0.0,0.0,0.0,0.4907699234579018,2180,41,104,0
quantile,0.975,,0.2434285189956424,0.0,0.0,0.0,0.4880684376407024,2168,53,104,0
quantile,0.95,,0.23036940023303032,0.0,0.0,0.0,0.4765871229176047,2117,104,104,0
