threshold_family,quantile,mean_std_k,threshold,f1,precision_abnormal,recall_abnormal,balanced_acc,tn,fp,fn,tp
mean_std,,3.0,0.2923689745110404,0.0,0.0,0.0,0.5,2221,0,104,0
mean_std,,2.5,0.26947350488859734,0.0,0.0,0.0,0.4972985141828005,2209,12,104,0
quantile,0.99,,0.2653433278203012,0.0,0.0,0.0,0.49572264745610084,2202,19,104,0
quantile,0.975,,0.2527211584150791,0.0,0.0,0.0,0.4896443043674021,2175,46,104,0
mean_std,,2.0,0.24657803526615435,0.0,0.0,0.0,0.4844664565511031,2152,69,104,0
quantile,0.95,,0.2353695869445801,0.0,0.0,0.0,0.475236380009005,2111,110,104,0
